Month,Date,Location,Phase of the day ,Target,additional Target info 1 ,additional Target info 2,Images name ,Folder idenifier ,additional info 1 ,additional info 2,additional info 3,additional info 3,additional info 4
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000025.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000029.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000030.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000031.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000032.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000033.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000034.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000035.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000036.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000037.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000038.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000039.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000040.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000041.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000042.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000043.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000044.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000045.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000046.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000047.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000048.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000049.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000050.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000051.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000052.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000053.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000054.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000055.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000056.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000057.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000058.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000059.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000060.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000061.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000062.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000063.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000064.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000065.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000066.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000067.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000068.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000070.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000073.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000074.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000075.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000076.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000077.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000079.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000080.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000081.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000082.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000083.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000084.fit,,-,,,,
